Metric,Value
avg_turnover,0.8902064063538948
target_lt_10pct_met,0.0
portfolio_overlap_mean,0.33503112986085126
replacement_rate_mean,0.6649688701391487
entry_turnover_mean,0.2794305496728424
exit_turnover_mean,0.3827906197975178
resize_turnover_mean,0.22798523688353445
retained_position_mean_pnl_component,0.0003775905589198178
entry_position_mean_pnl_component,0.0
average_holding_days,6.3090909090909095
gross_sharpe,3.149345414608648
net_sharpe,-1.1015927528856804
total_tx_cost,0.5452514238917605
avg_alpha_per_turnover,0.0021831197017630095
trade_day_ratio,1.0
Did persistence reduce turnover materially?,NO
Did retained positions outperform new entries?,YES
Optimal holding behavior observed?,Average holding ≈ 6.31 days
Did stability improve deployability?,NO
Best regime under persistence,LOW
Is long-short still justified?,YES
Economically deployable now?,NO
Final Verdict,FAIL
